,date,country,confirmed,deaths,recovered
564,04-02-2020,Eritrea,22,0,0
565,04-02-2020,Estonia,858,11,45
566,04-02-2020,Eswatini,9,0,0
567,04-02-2020,Ethiopia,29,0,3
568,04-02-2020,Fiji,7,0,0
569,04-02-2020,Finland,1518,19,300
570,04-02-2020,Gabon,21,1,0
571,04-02-2020,Gambia,4,1,2
572,04-02-2020,Georgia,134,0,26
573,04-02-2020,Germany,84794,1107,22440
574,04-02-2020,Ghana,204,5,31
575,04-02-2020,Greece,1544,53,61
576,04-02-2020,Grenada,10,0,0
577,04-02-2020,Guatemala,47,1,12
578,04-02-2020,Guinea,52,0,0
579,04-02-2020,Guinea-Bissau,9,0,0
580,04-02-2020,Guyana,19,4,0
581,04-02-2020,Haiti,16,0,1
582,04-02-2020,Holy See,7,0,0
583,04-02-2020,Honduras,219,14,3
584,04-02-2020,Hungary,585,21,42
585,04-02-2020,Iceland,1319,4,284
586,04-02-2020,India,2543,72,191
587,04-02-2020,Indonesia,1790,170,112
588,04-02-2020,Iran,50468,3160,16711
589,04-02-2020,Iraq,772,54,202
590,04-02-2020,Ireland,3849,98,5
591,04-02-2020,Israel,6857,36,338
592,04-02-2020,Italy,115242,13915,18278
593,04-02-2020,Jamaica,47,3,2
594,04-02-2020,Japan,2495,62,472
595,04-02-2020,Jordan,299,5,45
596,04-02-2020,Kazakhstan,435,3,27
597,04-02-2020,Kenya,110,3,4
598,04-02-2020,"Korea, South",9976,169,5828
599,04-02-2020,Kosovo,125,1,10
600,04-02-2020,Kuwait,342,0,81
601,04-02-2020,Kyrgyzstan,116,0,5
602,04-02-2020,Laos,10,0,0
603,04-02-2020,Latvia,458,0,31
604,04-02-2020,Lebanon,494,16,46
605,04-02-2020,Liberia,6,0,0
606,04-02-2020,Libya,11,1,0
607,04-02-2020,Liechtenstein,75,0,0
608,04-02-2020,Lithuania,649,9,7
609,04-02-2020,Luxembourg,2487,30,80
610,04-02-2020,MS Zaandam,9,2,0
611,04-02-2020,Madagascar,59,0,0
612,04-02-2020,Malawi,3,0,0
613,04-02-2020,Malaysia,3116,50,767
614,04-02-2020,Maldives,19,0,13
615,04-02-2020,Mali,36,3,0
616,04-02-2020,Malta,196,0,2
617,04-02-2020,Mauritania,6,1,2
618,04-02-2020,Mauritius,169,7,0
619,04-02-2020,Mexico,1378,37,35
620,04-02-2020,Moldova,505,6,23
621,04-02-2020,Monaco,60,1,2
622,04-02-2020,Mongolia,14,0,2
623,04-02-2020,Montenegro,144,2,0
624,04-02-2020,Morocco,708,44,31
625,04-02-2020,Mozambique,10,0,0
626,04-02-2020,Namibia,14,0,3
627,04-02-2020,Nepal,6,0,1
628,04-02-2020,New Zealand,797,1,92
629,04-02-2020,Nicaragua,5,1,0
630,04-02-2020,Niger,98,5,0
631,04-02-2020,Nigeria,184,2,20
632,04-02-2020,North Macedonia,384,11,17
633,04-02-2020,Norway,5147,50,32
634,04-02-2020,Oman,231,1,57
635,04-02-2020,Pakistan,2421,34,125
636,04-02-2020,Panama,1317,32,9
637,04-02-2020,Papua New Guinea,1,0,0
638,04-02-2020,Paraguay,77,3,2
639,04-02-2020,Peru,1414,55,537
640,04-02-2020,Philippines,2633,107,51
641,04-02-2020,Poland,2946,57,56
642,04-02-2020,Portugal,9034,209,68
643,04-02-2020,Qatar,949,3,72
644,04-02-2020,Romania,2738,115,267
645,04-02-2020,Russia,3548,30,235
646,04-02-2020,Rwanda,84,0,0
647,04-02-2020,Saint Kitts and Nevis,9,0,0
648,04-02-2020,Saint Lucia,13,0,1
649,04-02-2020,Saint Vincent and the Grenadines,2,0,1
650,04-02-2020,San Marino,245,30,21
651,04-02-2020,Saudi Arabia,1885,21,328
652,04-02-2020,Senegal,195,1,55
653,04-02-2020,Serbia,1171,31,0
654,04-02-2020,Seychelles,10,0,0
655,04-02-2020,Sierra Leone,2,0,0
656,04-02-2020,Singapore,1049,4,266
657,04-02-2020,Slovakia,426,1,5
658,04-02-2020,Slovenia,897,17,70
659,04-02-2020,Somalia,5,0,1
660,04-02-2020,South Africa,1462,5,50
661,04-02-2020,Spain,112065,10348,26743
662,04-02-2020,Sri Lanka,151,4,21
663,04-02-2020,Sudan,8,2,2
664,04-02-2020,Suriname,10,0,0
665,04-02-2020,Sweden,5568,308,103
666,04-02-2020,Switzerland,18827,536,4013
667,04-02-2020,Syria,16,2,0
668,04-02-2020,Taiwan*,339,5,45
669,04-02-2020,Tanzania,20,1,2
