,date,country,confirmed,deaths,recovered
466,03-24-2020,Norway,2863,12,6
467,03-24-2020,Oman,84,0,17
468,03-24-2020,Pakistan,972,7,18
469,03-24-2020,Panama,345,6,1
470,03-24-2020,Papua New Guinea,1,0,0
471,03-24-2020,Paraguay,27,2,0
472,03-24-2020,Peru,416,7,1
473,03-24-2020,Philippines,552,35,20
474,03-24-2020,Poland,901,10,1
475,03-24-2020,Portugal,2362,33,22
476,03-24-2020,Qatar,526,0,41
477,03-24-2020,Romania,794,11,79
478,03-24-2020,Russia,495,1,22
479,03-24-2020,Rwanda,40,0,0
480,03-24-2020,Saint Lucia,3,0,0
481,03-24-2020,Saint Vincent and the Grenadines,1,0,0
482,03-24-2020,San Marino,187,21,4
483,03-24-2020,Saudi Arabia,767,1,28
484,03-24-2020,Senegal,86,0,8
485,03-24-2020,Serbia,303,3,15
486,03-24-2020,Seychelles,7,0,0
487,03-24-2020,Singapore,558,2,156
488,03-24-2020,Slovakia,204,0,7
489,03-24-2020,Slovenia,480,4,3
490,03-24-2020,Somalia,1,0,0
491,03-24-2020,South Africa,554,0,4
492,03-24-2020,Spain,39885,2808,3794
493,03-24-2020,Sri Lanka,102,0,2
494,03-24-2020,Sudan,3,1,0
495,03-24-2020,Suriname,7,0,0
496,03-24-2020,Sweden,2286,36,16
497,03-24-2020,Switzerland,9877,122,131
498,03-24-2020,Syria,1,0,0
499,03-24-2020,Taiwan*,215,2,29
500,03-24-2020,Tanzania,12,0,0
501,03-24-2020,Thailand,827,4,52
502,03-24-2020,Timor-Leste,1,0,0
503,03-24-2020,Togo,20,0,1
504,03-24-2020,Trinidad and Tobago,57,0,0
505,03-24-2020,Tunisia,114,4,1
506,03-24-2020,Turkey,1872,44,0
507,03-24-2020,Uganda,9,0,0
508,03-24-2020,Ukraine,97,3,1
509,03-24-2020,United Arab Emirates,248,2,45
510,03-24-2020,Uruguay,162,0,0
511,03-24-2020,Uzbekistan,50,0,0
