,A,B,t_off,t_w,mse
100,-0.737147,0.886907,18.173379,10.274617,3402.854390
101,-0.737147,0.886907,18.173379,10.274617,3402.852570
102,-0.737147,0.886907,18.173379,10.274617,3402.852031
103,-0.737147,0.886907,18.173379,10.274617,3402.854359
104,-0.737147,0.886907,18.173379,10.274617,3402.854370
105,-0.733181,0.885320,18.172381,10.273164,3227.480991
106,-0.733181,0.885320,18.172381,10.273164,3227.481232
107,-0.733181,0.885320,18.172381,10.273164,3227.481582
108,-0.733181,0.885320,18.172381,10.273164,3227.481004
109,-0.733181,0.885320,18.172381,10.273164,3227.480986
110,-0.726541,0.880764,18.168351,10.266850,3394.836876
111,-0.726541,0.880764,18.168351,10.266850,3394.835984
112,-0.726541,0.880764,18.168351,10.266850,3394.834722
113,-0.726541,0.880764,18.168351,10.266850,3394.836815
114,-0.726541,0.880764,18.168351,10.266850,3394.836855
115,-0.731920,0.884455,18.171616,10.271965,3216.781239
116,-0.731920,0.884455,18.171616,10.271965,3216.781253
117,-0.731920,0.884455,18.171616,10.271965,3216.781278
118,-0.731920,0.884455,18.171616,10.271965,3216.781237
119,-0.731920,0.884455,18.171616,10.271965,3216.781231
120,-0.731906,0.884442,18.171620,10.271976,3216.745782
121,-0.731905,0.884442,18.171620,10.271976,3216.745786
122,-0.731906,0.884442,18.171620,10.271976,3216.745803
123,-0.731906,0.884442,18.171620,10.271976,3216.745779
124,-0.731906,0.884442,18.171620,10.271976,3216.745773
125,-0.731850,0.884392,18.171699,10.272125,3216.570342
126,-0.731850,0.884392,18.171699,10.272125,3216.570314
127,-0.731850,0.884392,18.171699,10.272125,3216.570302
128,-0.731850,0.884392,18.171699,10.272125,3216.570337
129,-0.731850,0.884392,18.171699,10.272125,3216.570333
130,-0.731782,0.884329,18.171921,10.272533,3216.245052
131,-0.731782,0.884329,18.171921,10.272533,3216.244989
132,-0.731782,0.884329,18.171921,10.272533,3216.244945
133,-0.731782,0.884329,18.171922,10.272533,3216.245046
134,-0.731782,0.884329,18.171921,10.272533,3216.245043
135,-0.731637,0.884188,18.172732,10.274003,3215.257836
136,-0.731637,0.884188,18.172732,10.274003,3215.257705
137,-0.731637,0.884188,18.172732,10.274003,3215.257602
138,-0.731637,0.884188,18.172732,10.274003,3215.257827
139,-0.731637,0.884188,18.172732,10.274003,3215.257826
140,-0.731371,0.883919,18.174947,10.277999,3212.817470
141,-0.731371,0.883919,18.174947,10.277999,3212.817237
142,-0.731371,0.883919,18.174947,10.277999,3212.817042
143,-0.731371,0.883919,18.174947,10.277999,3212.817458
144,-0.731371,0.883919,18.174947,10.277999,3212.817459
145,-0.730821,0.883336,18.181165,10.289184,3206.357896
146,-0.730821,0.883336,18.181165,10.289184,3206.357494
147,-0.730821,0.883336,18.181165,10.289184,3206.357149
148,-0.730821,0.883336,18.181165,10.289184,3206.357876
149,-0.730821,0.883336,18.181165,10.289184,3206.357883
150,-0.729679,0.882068,18.197472,10.318466,3190.054541
151,-0.729679,0.882068,18.197472,10.318466,3190.053877
152,-0.729679,0.882068,18.197472,10.318466,3190.053298
153,-0.729679,0.882068,18.197472,10.318466,3190.054511
154,-0.729679,0.882068,18.197472,10.318466,3190.054526
155,-0.727282,0.879297,18.238337,10.391772,3150.429340
156,-0.727282,0.879297,18.238337,10.391772,3150.428282
157,-0.727282,0.879297,18.238337,10.391772,3150.427347
158,-0.727282,0.879297,18.238337,10.391772,3150.429294
159,-0.727282,0.879297,18.238337,10.391772,3150.429321
160,-0.722719,0.873801,18.328586,10.553549,3065.214243
161,-0.722719,0.873801,18.328586,10.553549,3065.212668
162,-0.722719,0.873801,18.328586,10.553549,3065.211262
163,-0.722719,0.873801,18.328586,10.553549,3065.214177
164,-0.722719,0.873801,18.328586,10.553549,3065.214220
165,-0.715937,0.865186,18.485970,10.835491,2910.568670
166,-0.715937,0.865186,18.485970,10.835491,2910.566621
167,-0.715937,0.865186,18.485970,10.835491,2910.564786
168,-0.715937,0.865186,18.485970,10.835491,2910.568587
169,-0.715937,0.865186,18.485970,10.835491,2910.568643
170,-0.707012,0.853206,18.729599,11.271692,2678.052115
171,-0.707012,0.853206,18.729599,11.271692,2678.050007
172,-0.707012,0.853206,18.729599,11.271692,2678.048160
173,-0.707012,0.853206,18.729599,11.271692,2678.052036
174,-0.707012,0.853206,18.729599,11.271692,2678.052091
175,-0.492836,0.725952,19.251661,12.234415,26902.017613
176,-0.492836,0.725952,19.251661,12.234415,26902.020236
177,-0.492836,0.725952,19.251661,12.234415,26902.020593
178,-0.492836,0.725952,19.251661,12.234415,26902.017625
