,date,confirmed,deaths,recovered
2020-07-09,2020-07-09,1755779.0,69184.0,1171447.0
2020-07-10,2020-07-10,1800827.0,70398.0,1217361.0
2020-07-11,2020-07-11,1839850.0,71469.0,1244088.0
2020-07-12,2020-07-12,1864681.0,72100.0,1264843.0
2020-07-13,2020-07-13,1884967.0,72833.0,1291251.0
2020-07-14,2020-07-14,1926824.0,74133.0,1323425.0
2020-07-15,2020-07-15,1966748.0,75366.0,1350098.0
2020-07-16,2020-07-16,2012151.0,76688.0,1397531.0
2020-07-17,2020-07-17,2046328.0,77851.0,1428520.0
2020-07-18,2020-07-18,2074860.0,78772.0,1447408.0
2020-07-19,2020-07-19,2098389.0,79488.0,1459072.0
2020-07-20,2020-07-20,2118646.0,80120.0,1514300.0
2020-07-21,2020-07-21,2159654.0,81487.0,1555339.0
2020-07-22,2020-07-22,2227514.0,82771.0,1591975.0
2020-07-23,2020-07-23,2287475.0,84082.0,1620313.0
2020-07-24,2020-07-24,2343366.0,85238.0,1693214.0
2020-07-25,2020-07-25,2394513.0,86449.0,1785359.0
2020-07-26,2020-07-26,2419091.0,87004.0,1812913.0
2020-07-27,2020-07-27,2442375.0,87618.0,1846641.0
2020-07-28,2020-07-28,2483191.0,88539.0,1868749.0
2020-07-29,2020-07-29,2552265.0,90134.0,1922802.0
2020-07-30,2020-07-30,2610102.0,91263.0,1956807.0
2020-07-31,2020-07-31,2662485.0,92475.0,2008854.0
2020-08-01,2020-08-01,2707877.0,93563.0,2037982.0
2020-08-02,2020-08-02,2733677.0,94104.0,2062876.0
2020-08-03,2020-08-03,2750318.0,94665.0,2098976.0
2020-08-04,2020-08-04,2801921.0,95819.0,2157484.0
2020-08-05,2020-08-05,2859073.0,97256.0,2190361.0
2020-08-06,2020-08-06,2912212.0,98493.0,2230542.0
2020-08-07,2020-08-07,2962442.0,99572.0,2272299.0
2020-08-08,2020-08-08,3012412.0,100477.0,2321537.0
2020-08-09,2020-08-09,3035422.0,101049.0,2356983.0
2020-08-10,2020-08-10,3057470.0,101752.0,2390830.0
2020-08-11,2020-08-11,3109630.0,103026.0,2449338.0
2020-08-12,2020-08-12,3164785.0,104201.0,2506228.0
2020-08-13,2020-08-13,3224876.0,105463.0,2521100.0
2020-08-14,2020-08-14,3275520.0,106523.0,2616981.0
2020-08-15,2020-08-15,3317096.0,107232.0,2622878.0
2020-08-16,2020-08-16,3340197.0,107852.0,2655017.0
2020-08-17,2020-08-17,3359570.0,108536.0,2699080.0
2020-08-18,2020-08-18,3407354.0,109888.0,2751246.0
2020-08-19,2020-08-19,3456652.0,111100.0,2801931.0
2020-08-20,2020-08-20,3501975.0,112304.0,2844318.0
2020-08-21,2020-08-21,3532330.0,113358.0,2855558.0
2020-08-22,2020-08-22,3582362.0,114250.0,2913966.0
2020-08-23,2020-08-23,3605783.0,114744.0,2947784.0
2020-08-24,2020-08-24,3622861.0,115309.0,2976256.0
2020-08-25,2020-08-25,3669995.0,116580.0,3032551.0
2020-08-26,2020-08-26,3717156.0,117665.0,3082447.0
2020-08-27,2020-08-27,3761391.0,118649.0,3122846.0
2020-08-28,2020-08-28,3804803.0,119504.0,3158783.0
2020-08-29,2020-08-29,3846153.0,120262.0,3202185.0
2020-08-30,2020-08-30,3862311.0,120828.0,3237615.0
2020-08-31,2020-08-31,3908272.0,121381.0,3268591.0
